x,y,r
2,2,40696.276036340816
3,2,23492.34841687026
379,2,24764.532222078185
380,2,45923.85944562
381,2,178976.43138216282
2,3,23501.254995673666
3,3,14419.7220111924
379,3,15456.058574022825
380,3,27270.750963576516
381,3,61166.950554746334
2,379,11521.847472249416
379,379,10472.126218580217
380,379,18444.717776944744
381,379,36140.37070082463
2,380,20937.99044843804
3,380,12284.16136235362
379,380,18210.942328012352
380,380,33009.130166456016
381,380,119336.91391140087
2,381,80159.0341470319
3,381,25868.13547803589
379,381,38671.87151427346
380,381,122263.45562906403
381,381,766296.4634471015
