x,y,r
97,7,60419.079133803665
98,7,607802.0005127738
99,7,757525.5446559126
97,8,428147.8058632689
98,8,9531085.8458438
99,8,30015231.05011023
100,8,47329738.128563665
101,8,42510263.50148913
198,8,32280966.136019714
199,8,44895345.63039991
200,8,32811536.37627882
201,8,17353687.500941418
202,8,4809264.88220079
203,8,165622.33671566535
97,9,186499.42697475757
98,9,28452952.059718873
99,9,87928462.4779692
100,9,144900248.8392087
101,9,151504725.86799327
102,9,23754865.712147333
197,9,17383755.62903203
198,9,173547237.19087026
199,9,187073453.70079434
200,9,134959127.52277085
201,9,79439397.73858336
202,9,22520460.567322224
203,9,719529.8050737584
98,10,43912947.913359985
99,10,141617682.8879254
100,10,237485600.33635938
101,10,256429257.5555519
102,10,61079949.466863334
197,10,60995878.21677512
198,10,313521317.50842744
199,10,324113074.54836774
200,10,232050453.43975264
201,10,136587198.94953895
202,10,37058323.66925442
203,10,1029351.319208876
98,11,38079450.23705151
99,11,144828699.91191137
100,11,251392440.25744665
101,11,280058620.17400944
102,11,82275528.2536861
197,11,105296089.79685375
198,11,455638851.55680865
199,11,465111031.7397558
200,11,334153993.2104589
201,11,199494630.53952065
202,11,52083795.22444454
203,11,1194483.3377176907
99,12,22779171.359011456
100,12,59599328.30534889
101,12,81000817.99476758
102,12,32209424.280044068
147,12,945286.3740602215
148,12,646163.6137011163
197,12,118732453.41479424
198,12,491020576.74199915
199,12,493077700.58620566
200,12,344911552.04340005
201,12,193782260.53098434
202,12,47347110.89681159
203,12,951424.9253338943
147,13,459403.08018852794
148,13,10089029.817267694
149,13,31860442.62832114
150,13,50135363.22434635
151,13,44308600.01827027
197,13,93267008.3381983
198,13,397728436.54804826
199,13,391934937.52349627
200,13,261168640.38109756
201,13,128203644.52103719
202,13,28104684.348639946
203,13,558594.8099639984
147,14,82677.62752941623
148,14,29352805.117684804
149,14,91259821.18160972
150,14,150712762.98484135
151,14,157390229.4740078
152,14,24711695.76059977
197,14,52496750.37785377
198,14,264676443.68609053
199,14,262282684.4032464
200,14,171394217.3835613
201,14,78290635.59867744
202,14,16968959.275809623
203,14,424812.9745611773
148,15,44943215.68282939
149,15,147123061.52511102
150,15,247869996.50994456
151,15,268761035.2756941
152,15,63865687.674941756
197,15,9395446.537665822
198,15,126489332.99853212
199,15,126561653.18893127
200,15,75449422.68801732
201,15,22141127.29592063
202,15,2280684.2883807356
203,15,17175.754797050846
148,16,37816437.992400885
149,16,151100662.79857638
150,16,265588879.4873431
151,16,298050406.3547944
152,16,86624394.32539383
198,16,21407573.833556693
199,16,25536655.47286515
200,16,14310227.533800898
201,16,1253015.1237920718
149,17,19839018.418773226
150,17,60077286.22327361
151,17,84989516.90199892
152,17,33957503.07839713
199,17,182933.93796197162
200,17,113158.693583515
62,30,12080.266654064226
63,30,10623.913335115518
62,31,18490.755996206342
63,31,16540.89531556382
64,31,10026.752391599242
62,32,24560.84603560655
63,32,21913.868501169825
64,32,13363.895497915011
62,33,23528.46736418716
63,33,20242.077277110628
64,33,11869.53490632919
99,37,21747145.80564911
100,37,66279009.88016662
101,37,93713790.93583262
