x,y,r
2,2,40416.444511054564
3,2,23341.575227162608
635,2,24776.249508842273
636,2,45862.866178809156
637,2,178206.95127311588
2,3,23329.17168865097
3,3,14322.161281287981
635,3,15454.387931726862
636,3,27237.95652157402
637,3,60909.11929860519
2,635,12496.08461380226
635,635,11057.887538094605
636,635,18962.62296701755
637,635,37774.736096673776
2,636,23099.88150213979
3,636,13454.512657431707
635,636,19047.985840465044
636,636,33727.75157677662
637,636,122676.04932972977
2,637,86482.45015090246
3,637,29525.488708571742
635,637,37822.89025082796
636,637,120965.63959756024
637,637,759153.5070879405
