x,y,r
2,2,40627.75350647323
3,2,23519.58701274466
507,2,24820.993108606046
508,2,45977.63641732063
509,2,179155.66663593252
2,3,23487.891931955874
3,3,14450.7986198385
507,3,15503.591067269459
508,3,27341.15307722392
509,3,61483.927311897525
2,507,11795.625768874372
507,507,10754.37696504262
508,507,18528.743034656858
509,507,35334.275242978416
2,508,21979.992763757597
3,508,12673.075254075977
507,508,18930.35385565641
508,508,33570.08815870675
509,508,120720.21360990356
2,509,83398.46993969171
3,509,27163.990133930878
507,509,39208.24533127197
508,509,122684.96785717987
509,509,763494.5341326175
